account_id,calculated_closing_balance,reported_closing_balance,difference,status
A000001,16720.34,16720.34,0.0,PASS
A000002,16473.05,16473.05,0.0,PASS
A000003,7504.08,7504.08,0.0,PASS
A000004,11374.45,11374.45,0.0,PASS
A000005,16293.63,16293.63,0.0,PASS
A000006,8030.79,8030.79,0.0,PASS
A000007,2562.23,2562.23,0.0,PASS
A000008,12871.85,12871.85,0.0,PASS
A000009,19409.5,19409.5,0.0,PASS
A000010,14862.64,14862.64,0.0,PASS
A000011,2482.35,2482.35,0.0,PASS
A000012,18366.37,18366.37,0.0,PASS
A000013,19808.28,19808.28,0.0,PASS
A000014,3059.8,3059.8,0.0,PASS
A000015,-1851.26,-1851.26,0.0,PASS
A000016,12287.97,12287.97,0.0,PASS
A000017,-2188.53,-2188.53,0.0,PASS
A000018,10273.31,10273.31,0.0,PASS
A000019,2450.72,2450.72,0.0,PASS
A000020,22053.23,22053.23,0.0,PASS
A000021,11762.92,11762.92,0.0,PASS
A000022,6023.74,6023.74,0.0,PASS
A000023,16210.69,16210.69,0.0,PASS
A000024,11804.33,11804.33,0.0,PASS
A000025,24159.22,24159.22,0.0,PASS
A000026,11845.3,11845.3,0.0,PASS
A000027,5736.88,5736.88,0.0,PASS
A000028,19344.19,19344.19,0.0,PASS
A000029,13523.17,13523.17,0.0,PASS
A000030,23504.86,23504.86,0.0,PASS
A000031,9244.95,9244.95,0.0,PASS
A000032,26078.02,26078.02,0.0,PASS
A000033,6043.14,6043.14,0.0,PASS
A000034,14601.41,14601.41,0.0,PASS
A000035,22315.81,22315.81,0.0,PASS
A000036,4706.42,4706.42,0.0,PASS
A000037,6006.52,6006.52,0.0,PASS
A000038,11447.19,11447.19,0.0,PASS
A000039,19415.49,19415.49,0.0,PASS
A000040,9964.79,9964.79,0.0,PASS
A000041,19324.78,19324.78,0.0,PASS
A000042,3853.23,3853.23,0.0,PASS
A000043,11756.53,11756.53,0.0,PASS
A000044,10408.07,10408.07,0.0,PASS
A000045,-1631.27,-1631.27,0.0,PASS
A000046,22107.79,22107.79,0.0,PASS
A000047,3114.68,3114.68,0.0,PASS
A000048,16099.59,16099.59,0.0,PASS
A000049,8181.29,8181.29,0.0,PASS
A000050,10943.57,10943.57,0.0,PASS
A000051,5373.41,5373.41,0.0,PASS
A000052,12500.49,12500.49,0.0,PASS
A000053,12681.6,12681.6,0.0,PASS
A000054,6023.69,6023.69,0.0,PASS
A000055,3668.13,3668.13,0.0,PASS
A000056,9766.58,9766.58,0.0,PASS
A000057,17815.4,17815.4,0.0,PASS
A000058,14808.02,14808.02,0.0,PASS
A000059,10668.31,10668.31,0.0,PASS
A000060,19844.3,19844.3,0.0,PASS
A000061,8569.16,8569.16,0.0,PASS
A000062,17174.44,17174.44,0.0,PASS
A000063,-693.63,-693.63,0.0,PASS
A000064,8149.99,8149.99,0.0,PASS
A000065,8137.69,8137.69,0.0,PASS
A000066,18104.96,18104.96,0.0,PASS
A000067,8605.61,8605.61,0.0,PASS
A000068,14773.57,14773.57,0.0,PASS
A000069,2685.93,2685.93,0.0,PASS
A000070,787.87,787.87,0.0,PASS
A000071,11242.4,11242.4,0.0,PASS
A000072,9210.26,9210.26,0.0,PASS
A000073,7101.4,7101.4,0.0,PASS
A000074,10330.65,10330.65,0.0,PASS
A000075,16687.45,16687.45,0.0,PASS
A000076,9340.71,9340.71,0.0,PASS
A000077,17217.69,17217.69,0.0,PASS
A000078,14206.91,14206.91,0.0,PASS
A000079,14697.23,14697.23,0.0,PASS
A000080,19729.91,19729.91,0.0,PASS
A000081,11690.82,11690.82,0.0,PASS
A000082,14512.1,14512.1,0.0,PASS
A000083,3355.11,3355.11,0.0,PASS
A000084,6425.9,6425.9,0.0,PASS
A000085,7632.59,7632.59,0.0,PASS
A000086,15435.51,15435.51,0.0,PASS
A000087,15511.52,15511.52,0.0,PASS
A000088,11883.75,11883.75,0.0,PASS
A000089,4471.61,4471.61,0.0,PASS
A000090,18190.47,18190.47,0.0,PASS
A000091,20007.8,20007.8,0.0,PASS
A000092,15983.43,15983.43,0.0,PASS
A000093,4217.66,4217.66,0.0,PASS
A000094,6874.54,6874.54,0.0,PASS
A000095,11299.38,11299.38,0.0,PASS
