snapshot_date,account_id,closing_balance
2025-07-28,A000001,13048.5
2025-08-28,A000001,13113.98
2025-09-28,A000001,13221.57
2025-10-28,A000001,14220.65
2025-11-28,A000001,15532.7
2025-12-28,A000001,15323.23
2026-01-28,A000001,15023.78
2026-02-28,A000001,15849.98
2026-03-28,A000001,16078.74
2026-04-28,A000001,16811.5
2026-05-28,A000001,17319.57
2026-06-28,A000001,16720.34
2025-07-28,A000002,12621.69
2025-08-28,A000002,13492.24
2025-09-28,A000002,14075.71
2025-10-28,A000002,14609.95
2025-11-28,A000002,14215.72
2025-12-28,A000002,14779.51
2026-01-28,A000002,15718.54
2026-02-28,A000002,15450.24
2026-03-28,A000002,16096.42
2026-04-28,A000002,16461.27
2026-05-28,A000002,15897.85
2026-06-28,A000002,16473.05
2025-07-28,A000003,1987.54
2025-08-28,A000003,2080.19
2025-09-28,A000003,1399.69
2025-10-28,A000003,774.29
2025-11-28,A000003,1983.17
2025-12-28,A000003,3089.75
2026-01-28,A000003,2659.64
2026-02-28,A000003,3665.8
2026-03-28,A000003,5129.9
2026-04-28,A000003,6126.45
2026-05-28,A000003,6116.16
2026-06-28,A000003,7504.08
2025-07-28,A000004,2540.88
2025-08-28,A000004,3957.48
2025-09-28,A000004,4436.61
2025-10-28,A000004,4664.47
2025-11-28,A000004,6127.91
2025-12-28,A000004,8287.68
2026-01-28,A000004,9711.22
2026-02-28,A000004,10272.41
2026-03-28,A000004,9766.89
2026-04-28,A000004,9413.36
2026-05-28,A000004,10184.79
2026-06-28,A000004,11374.45
2025-07-28,A000005,12312.08
2025-08-28,A000005,13319.43
2025-09-28,A000005,14007.6
2025-10-28,A000005,14550.3
2025-11-28,A000005,15733.25
2025-12-28,A000005,16392.21
2026-01-28,A000005,16614.1
2026-02-28,A000005,17366.73
2026-03-28,A000005,16599.16
2026-04-28,A000005,17870.48
2026-05-28,A000005,16911.8
2026-06-28,A000005,16293.63
2025-07-28,A000006,4025.09
2025-08-28,A000006,4521.08
2025-09-28,A000006,4392.34
2025-10-28,A000006,4726.11
2025-11-28,A000006,5456.89
2025-12-28,A000006,6076.16
2026-01-28,A000006,5918.02
2026-02-28,A000006,6615.41
2026-03-28,A000006,7493.14
2026-04-28,A000006,7874.38
2026-05-28,A000006,7815.03
2026-06-28,A000006,8030.79
2025-07-28,A000007,270.45
2025-08-28,A000007,542.99
2025-09-28,A000007,1029.91
2025-10-28,A000007,969.42
2025-11-28,A000007,1170.71
2025-12-28,A000007,1514.18
