account_id,customer_id,account_type,open_date,status,opening_balance
A000001,C000001,Current,2026-04-01,Active,12998.65
A000002,C000002,Savings,2018-06-12,Active,12136.25
A000003,C000003,Savings,2017-12-14,Active,2246.46
A000004,C000004,Savings,2015-09-26,Active,306.01
A000005,C000005,Current,2021-05-27,Active,13425.45
A000006,C000006,Savings,2026-04-01,Active,4453.28
A000007,C000007,Savings,2016-09-20,Active,312.59
A000008,C000008,Savings,2007-09-08,Active,9364.86
A000009,C000009,Savings,2010-07-24,Active,13050.67
A000010,C000010,Savings,2009-09-27,Active,9778.69
A000011,C000011,Current,2018-01-13,Active,7049.71
A000012,C000012,Current,2016-03-24,Active,13949.62
A000013,C000013,Current,2013-06-08,Active,17981.77
A000014,C000014,Current,2015-03-30,Active,2177.65
A000015,C000015,Current,2017-02-17,Active,989.16
A000016,C000016,Current,2021-11-23,Active,9800.53
A000017,C000017,Current,2020-07-31,Active,1128.03
A000018,C000018,Savings,2012-12-10,Active,11851.46
A000019,C000019,Current,2014-07-03,Active,1440.71
A000020,C000020,Savings,2017-09-15,Active,13359.89
A000021,C000021,Current,2020-12-28,Active,11159.72
A000022,C000022,Current,2015-05-29,Active,7662.29
A000023,C000023,Current,2010-09-22,Active,14690.68
A000024,C000024,Current,2023-05-17,Active,14712.01
A000025,C000025,Current,2020-09-29,Active,13947.04
A000026,C000026,Current,2012-05-14,Active,4008.45
A000027,C000027,Current,2015-02-28,Active,4145.11
A000028,C000028,Current,2007-01-11,Active,16417.95
A000029,C000029,Current,2016-07-22,Active,11450.54
A000030,C000030,Savings,2013-06-08,Active,16209.65
A000031,C000031,Savings,2022-12-18,Active,7292.82
A000032,C000032,Savings,2019-10-05,Active,15375.35
A000033,C000033,Current,2015-01-29,Active,2894.47
A000034,C000034,Current,2026-05-31,Active,10068.83
A000035,C000035,Current,2009-01-30,Active,17748.46
A000036,C000036,Current,2009-09-27,Active,2236.99
A000037,C000037,Savings,2010-11-21,Active,3450.52
A000038,C000038,Current,2020-07-01,Active,9684.88
A000039,C000039,Current,2007-05-11,Active,16127.92
A000040,C000040,Current,2012-01-15,Active,6804.54
A000041,C000041,Current,2016-05-23,Active,12647.04
A000042,C000042,Current,2013-10-06,Active,600.52
A000043,C000043,Current,2016-06-22,Active,8719.51
A000044,C000044,Current,2022-01-22,Active,5132.03
A000045,C000045,Current,2016-10-20,Active,2889.92
A000046,C000046,Savings,2008-08-03,Active,15835.52
A000047,C000047,Savings,2014-07-03,Active,7892.84
A000048,C000048,Current,2025-06-05,Active,12121.66
A000049,C000049,Savings,2007-08-09,Active,9594.41
A000050,C000050,Savings,2018-05-13,Active,4296.35
A000051,C000051,Current,2020-11-28,Active,441.02
A000052,C000052,Current,2019-11-04,Active,7909.31
A000053,C000053,Savings,2011-03-21,Active,6260.99
A000054,C000054,Savings,2009-12-26,Active,4280.16
A000055,C000055,Savings,2025-10-03,Active,1232.47
A000056,C000056,Current,2015-09-26,Active,6740.36
A000057,C000057,Current,2017-06-17,Active,11338.1
A000058,C000058,Current,2007-05-11,Active,10913.82
A000059,C000059,Current,2010-09-22,Active,5023.09
A000060,C000060,Savings,2014-04-04,Active,14749.51
A000061,C000061,Savings,2010-12-21,Active,6827.23
A000062,C000062,Current,2013-04-09,Active,9150.34
A000063,C000063,Current,2012-01-15,Active,2088.04
A000064,C000064,Current,2021-06-26,Active,4968.61
A000065,C000065,Current,2015-12-25,Active,2934.0
A000066,C000066,Current,2017-08-16,Active,14561.61
A000067,C000067,Savings,2014-07-03,Active,1954.54
A000068,C000068,Savings,2011-06-19,Active,10159.86
A000069,C000069,Current,2012-03-15,Active,7044.65
A000070,C000070,Current,2021-03-28,Active,294.38
A000071,C000071,Savings,2008-09-02,Active,15678.06
A000072,C000072,Savings,2024-02-11,Active,6549.96
A000073,C000073,Savings,2015-07-28,Active,2207.48
