loan_id,customer_id,product_type,original_principal,outstanding_balance,interest_rate,monthly_payment,days_past_due,missed_payments_12m,credit_limit,utilisation_ratio
L000001,C000001,Credit Card,11244.6,3683.55,0.0688,61.39,45,1,17223.47,0.2139
L000002,C000002,Credit Card,15797.13,6783.52,0.1152,173.94,45,1,37810.33,0.1794
L000003,C000003,Credit Card,38209.2,21976.76,0.1593,1046.51,0,0,157489.27,0.1395
L000004,C000004,Credit Card,40240.67,18126.87,0.1013,453.17,0,0,37526.23,0.483
L000005,C000005,Credit Card,16567.0,12916.51,0.0782,218.92,0,0,47644.37,0.2711
L000006,C000006,Credit Card,9535.99,3571.86,0.1311,49.61,0,0,9729.13,0.3671
L000007,C000007,Personal Loan,40696.51,38591.65,0.1715,1754.17,0,0,53623.82,0.7197
L000008,C000008,Credit Card,33464.78,13819.61,0.127,255.92,15,1,27343.56,0.5054
L000009,C000009,Auto Finance,13600.55,11227.96,0.0565,415.85,0,0,19540.78,0.5746
L000010,C000010,Personal Loan,34403.52,17681.99,0.0831,609.72,0,0,38330.31,0.4613
L000011,C000011,Auto Finance,31086.96,28458.02,0.1447,632.4,0,0,39858.31,0.714
L000012,C000012,Auto Finance,13727.92,7125.8,0.1015,116.82,0,0,32370.92,0.2201
L000013,C000013,Auto Finance,38689.74,17696.59,0.074,589.89,0,0,41286.87,0.4286
L000014,C000014,Auto Finance,40813.45,18041.67,0.0844,668.21,180,3,41457.28,0.4352
L000015,C000015,Personal Loan,25629.38,5551.99,0.1548,135.41,0,0,14908.33,0.3724
L000016,C000016,Personal Loan,36235.28,32231.4,0.0526,1239.67,0,0,56101.61,0.5745
L000017,C000017,Auto Finance,23283.98,16951.88,0.1613,847.59,45,1,34203.25,0.4956
L000018,C000018,Personal Loan,19656.44,9995.34,0.1047,384.44,0,0,16207.35,0.6167
L000019,C000019,Auto Finance,13296.57,11596.34,0.0647,282.84,0,0,26484.38,0.4379
L000020,C000020,Auto Finance,16735.96,13854.29,0.1004,364.59,0,0,80823.95,0.1714
L000021,C000021,Personal Loan,43823.17,7528.96,0.1169,153.65,0,0,12048.58,0.6249
L000022,C000022,Credit Card,8163.31,4241.09,0.1757,106.03,0,0,4283.93,0.99
L000023,C000023,Auto Finance,17122.82,14035.45,0.1211,334.18,30,2,19590.61,0.7164
L000024,C000024,Personal Loan,13775.99,4154.74,0.0782,60.21,0,0,4578.81,0.9074
L000025,C000025,Auto Finance,30674.37,26879.18,0.0642,471.56,0,0,116483.91,0.2308
L000026,C000026,Auto Finance,19053.91,11614.66,0.0653,241.97,0,1,47202.22,0.2461
L000027,C000027,Personal Loan,44486.18,37455.01,0.1489,1101.62,0,0,73975.99,0.5063
L000028,C000028,Credit Card,6298.49,4042.49,0.0673,212.76,15,1,12251.07,0.33
L000029,C000029,Personal Loan,44010.95,31902.56,0.048,1029.11,0,0,111832.49,0.2853
L000030,C000030,Credit Card,43620.4,32006.53,0.0469,484.95,0,0,41645.3,0.7686
L000031,C000031,Credit Card,13321.61,4155.4,0.0953,88.41,45,1,14044.69,0.2959
L000032,C000032,Credit Card,10930.85,7737.32,0.0709,119.04,0,0,19719.01,0.3924
L000033,C000033,Personal Loan,35071.18,29638.56,0.1584,581.15,0,0,99835.28,0.2969
L000034,C000034,Auto Finance,29122.93,24106.4,0.1595,415.63,0,0,57855.65,0.4167
L000035,C000035,Auto Finance,9739.72,6854.95,0.0634,105.46,45,1,13333.16,0.5141
L000036,C000036,Credit Card,10529.88,6033.28,0.0866,167.59,0,0,77607.57,0.0777
L000037,C000037,Auto Finance,14385.47,12583.86,0.1333,224.71,0,0,26596.75,0.4731
L000038,C000038,Personal Loan,11439.45,6584.26,0.1608,160.59,0,0,18382.15,0.3582
L000039,C000039,Auto Finance,34786.78,27942.9,0.1384,473.61,120,2,61783.53,0.4523
L000040,C000040,Credit Card,17620.73,5338.92,0.0705,281.0,0,0,15740.49,0.3392
L000041,C000041,Personal Loan,15404.29,6923.07,0.0728,109.89,0,0,12247.66,0.5653
L000042,C000042,Auto Finance,29836.52,6996.53,0.1718,249.88,0,0,12624.98,0.5542
L000043,C000043,Personal Loan,31060.66,8399.87,0.0982,254.54,0,0,17330.39,0.4847
L000044,C000044,Auto Finance,11293.9,10652.01,0.0732,174.62,0,1,19450.16,0.5477
L000045,C000045,Auto Finance,10973.78,3113.25,0.0823,66.24,0,0,13018.32,0.2391
L000046,C000046,Personal Loan,31058.86,28411.38,0.1715,1052.27,0,0,167805.18,0.1693
L000047,C000047,Credit Card,35236.78,14953.29,0.0625,241.18,0,0,53891.98,0.2775
L000048,C000048,Personal Loan,4306.6,893.26,0.1033,12.95,0,0,3730.65,0.2394
L000049,C000049,Personal Loan,7270.07,1974.22,0.1075,33.46,30,1,3020.09,0.6537
L000050,C000050,Credit Card,27678.43,19831.97,0.1509,287.42,0,0,96868.13,0.2047
L000051,C000051,Personal Loan,29815.67,11021.66,0.1463,306.16,0,0,51605.57,0.2136
L000052,C000052,Personal Loan,8555.39,2237.7,0.0757,36.68,0,0,11046.79,0.2026
